data,estado,nomeCidade,codigo,casos,mortes
2020-10-28,MG,Andradas,310260,3,16
2020-05-15,MG,Ingaí,313080,0,0
2020-11-04,BA,Cardeal da Silva,290700,0,1
2020-09-03,MG,Bocaina de Minas,310720,0,0
2020-06-05,ES,Brejetuba,320115,5,0
2020-12-07,MG,São João das Missões,316245,0,1
2020-08-15,BA,Ipirá,291400,9,3
2020-11-09,AL,São José da Tapera,270840,1,15
2020-11-23,MG,Morro do Pilar,314370,0,0
2020-07-11,MG,Coroaci,311920,0,0
2020-05-02,MG,Corinto,311910,0,0
2020-08-05,CE,Boa Viagem,230240,9,19
2020-07-07,CE,Mombaça,230850,21,23
2020-05-12,MA,Centro do Guilherme,210315,1,0
2020-05-16,MG,Cambuí,311060,0,0
2020-11-29,MG,Itambé do Mato Dentro,313280,0,2
2020-04-16,BA,Lagoa Real,291875,0,0
2020-11-28,BA,Uauá,293200,2,13
2020-08-07,MG,Santana da Vargem,315830,0,0
2020-12-03,MG,Marmelópolis,314040,1,0
2020-11-26,BA,Gandu,291120,1,25
2020-10-22,GO,Uruana,522170,0,6
2020-06-17,MA,Bom Jesus das Selvas,210203,32,0
2020-05-09,BA,Itapé,291620,0,1
2020-04-12,BA,Antônio Gonçalves,290180,0,0
2020-04-22,CE,Palhano,231000,0,0
2020-06-04,CE,Caucaia,230370,161,137
2020-10-15,MA,Bom Lugar,210207,0,2
2020-03-27,MG,Ibirité,312980,0,0
2020-04-15,MG,Coluna,311680,0,0
2020-09-22,MG,Mariana,314000,0,17
2020-04-28,CE,Acaraú,230020,0,1
2020-05-15,ES,Apiacá,320050,0,0
2020-12-07,MA,Presidente Dutra,210910,0,10
2020-05-07,BA,Uauá,293200,0,0
2020-05-08,CE,Penaforte,231060,0,0
2020-08-03,BA,Ibiassucê,291200,0,0
2020-05-28,BA,Maraú,292070,0,2
2020-04-30,BA,Piraí do Norte,292467,0,0
2020-06-15,CE,Juazeiro do Norte,230730,158,40
2020-07-20,GO,Anápolis,520110,0,39
2020-11-05,GO,Davinópolis,520690,0,0
2020-07-05,CE,Cascavel,230350,-3,74
2020-11-04,ES,Itaguaçu,320270,3,3
2020-09-27,MG,Pedro Leopoldo,314930,0,16
2020-06-20,BA,Tanquinho,293110,0,1
2020-05-19,BA,Riachão das Neves,292620,0,0
2020-04-16,BA,Sítio do Mato,293075,0,0
2020-03-31,BA,Cachoeira,290490,0,0
2020-06-13,AM,Alvarães,130002,0,10
2020-09-26,GO,Moiporá,521340,0,1
2020-06-22,MG,Carmo do Rio Claro,311440,3,1
2020-10-02,MG,Sarzedo,316553,6,10
2020-08-05,ES,Mimoso do Sul,320340,7,4
2020-08-11,BA,Acajutiba,290030,3,3
2020-06-20,MA,Humberto de Campos,210500,0,3
2020-06-14,BA,Xique-Xique,293360,0,0
2020-08-11,BA,Igaporã,291340,0,2
2020-11-01,GO,Itarumã,521130,0,3
2020-05-24,GO,Panamá,521600,0,0
2020-06-09,BA,Iaçu,291190,3,3
2020-10-18,ES,Nova Venécia,320390,0,32
2020-11-30,GO,Morrinhos,521380,4,35
2020-04-10,CE,Iguatu,230550,0,2
2020-08-15,GO,Santa Rita do Araguaia,521940,0,0
2020-04-03,MG,Riacho dos Machados,315450,0,0
2020-10-21,AM,Guajará,130165,0,14
2020-05-22,GO,Panamá,521600,0,0
2020-05-13,GO,Paranaiguara,521630,0,0
2020-11-19,AM,Presidente Figueiredo,130353,28,33
2020-09-15,GO,Inaciolândia,520993,2,4
2020-12-06,GO,Marzagão,521290,0,1
2020-10-28,AL,São Miguel dos Campos,270860,1,36
2020-08-06,MG,Jaboticatubas,313460,1,7
2020-08-15,MA,Igarapé Grande,210520,25,8
2020-06-15,MA,Timbiras,211210,0,3
2020-11-05,BA,Santa Rita de Cássia,292840,54,9
2020-12-04,BA,Macarani,291970,15,8
2020-05-12,BA,Coribe,290910,0,0
2020-05-20,CE,Croatá,230423,0,0
2020-08-10,CE,Graça,230465,1,7
2020-07-04,BA,Itaguaçu da Bahia,291535,0,0
2020-07-17,BA,Jacobina,291750,2,3
2020-07-26,MA,Coroatá,210360,0,9
2020-08-28,AM,Itamarati,130195,0,5
2020-07-14,AM,São Paulo de Olivença,130390,0,19
2020-11-13,GO,Cristianópolis,520630,0,1
2020-06-10,AM,Lábrea,130240,10,1
2020-10-02,BA,Jiquiriçá,291820,1,1
2020-07-24,AM,Tabatinga,130406,15,78
2020-06-28,MG,Berizal,310665,0,0
2020-04-25,AM,Barcelos,130040,1,1
2020-08-21,BA,Queimadas,292580,0,5
2020-06-07,BA,Sátiro Dias,292970,0,0
2020-10-08,MA,Pinheiro,210860,0,37
2020-11-11,GO,Mossâmedes,521390,0,1
2020-10-18,BA,São Félix do Coribe,292905,0,6
2020-08-10,MA,Dom Pedro,210380,0,2
2020-11-10,BA,Olindina,292310,3,4
2020-11-07,GO,Gouvelândia,520915,0,0
2020-09-11,BA,Ruy Barbosa,292720,5,2
2020-10-27,BA,Seabra,292990,8,5
2020-06-17,GO,Barro Alto,520320,0,0
2020-07-03,MG,Cuparaque,312083,0,0
2020-09-04,GO,São Miguel do Araguaia,522020,-1,0
2020-09-15,MG,Amparo do Serra,310250,0,0
2020-05-29,GO,Varjão,522190,0,0
2020-09-15,MG,Abaeté,310020,0,1
2020-07-22,MA,São Domingos do Azeitão,211065,10,0
2020-04-15,GO,Carmo do Rio Verde,520500,0,0
2020-07-26,MG,Jeceaba,313540,0,2
2020-06-06,GO,Santo Antônio da Barra,521971,0,0
2020-11-06,GO,Araçu,520160,11,3
2020-04-10,GO,Vicentinópolis,522205,0,0
2020-09-20,AP,Vitória do Jari,160080,0,13
2020-11-07,BA,Itanagra,291590,0,3
2020-10-03,CE,Maracanaú,230765,4,246
2020-09-02,BA,Barra da Estiva,290280,0,0
2020-09-06,ES,Nova Venécia,320390,1,28
2020-09-19,AL,Santana do Mundaú,270810,7,5
2020-06-16,GO,Alto Horizonte,520055,0,0
2020-07-06,ES,Pedro Canário,320405,4,5
2020-06-13,BA,Lençóis,291930,0,0
2020-09-29,GO,Minaçu,521308,0,17
2020-04-15,AM,Urucurituba,130440,0,0
2020-07-13,GO,Serranópolis,522050,0,0
2020-11-21,ES,Água Doce do Norte,320016,7,8
2020-12-04,BA,Belo Campo,290350,2,2
2020-10-31,MG,Josenópolis,313657,0,0
2020-03-30,GO,Americano do Brasil,520085,0,0
2020-10-26,MG,Divinópolis,312230,0,67
2020-08-15,GO,Santa Helena de Goiás,521930,7,23
2020-07-14,AM,Fonte Boa,130160,0,17
2020-09-05,MG,Santo Antônio do Itambé,316020,0,0
2020-09-30,AL,São José da Laje,270830,0,10
2020-07-19,GO,Alvorada do Norte,520080,0,0
2020-10-06,MA,Barra do Corda,210160,0,37
2020-07-01,MG,Capitão Andrade,311265,0,0
2020-10-22,AM,Tabatinga,130406,0,81
2020-06-15,MG,Botumirim,310850,0,0
2020-09-05,CE,Quiterianópolis,231126,-6,6
2020-06-05,AM,São Sebastião do Uatumã,130395,5,1
2020-04-27,GO,Valparaíso de Goiás,522185,1,1
2020-12-04,GO,Porteirão,521805,22,3
2020-07-06,AM,Anamã,130008,0,0
2020-04-13,GO,Paranaiguara,521630,0,0
2020-06-07,MA,Presidente Sarney,210927,0,5
2020-10-12,ES,São Roque do Canaã,320495,0,7
2020-08-18,GO,Santa Tereza de Goiás,521960,1,0
2020-10-29,BA,Livramento de Nossa Senhora,291950,12,2
2020-06-09,BA,Itapebi,291630,0,0
2020-10-30,BA,Mirante,292145,0,3
2020-04-04,CE,Caridade,230300,0,0
2020-10-10,GO,Planaltina,521760,17,48
2020-09-21,BA,Cipó,290790,2,0
2020-03-30,MG,Ribeirão das Neves,315460,0,0
2020-06-06,MA,Chapadinha,210320,45,6
2020-11-06,BA,Itajuípe,291550,5,24
2020-05-04,MA,Anajatuba,210070,4,1
2020-03-28,BA,Maraú,292070,0,0
2020-08-22,BA,Tanque Novo,293105,0,0
2020-12-04,BA,Itamaraju,291560,37,34
2020-08-29,MG,Nova Ponte,314500,0,7
2020-10-11,CE,Pires Ferreira,231095,0,3
2020-09-11,BA,Mascote,292090,7,1
2020-11-10,CE,Assaré,230160,1,8
